lemma	pos	def
Βαΐαι	name	Baiae; Baia, Italy
Βαίβιος	name	Baebius
Βαβυλωνία	name	(historical) Babylonia (an ancient empire and geographic region of Mesopotamia, existing from 1850 BCE to 539 BCE, based around the city of Babylon; at its maximum extent, covering parts of modern-day Iraq, Kuwait, Syria and Iran)
Βαβυλών	name	Babel | (historical) Babylon (an ancient city, the ancient capital of Babylonia in modern Iraq, built on the banks of the Euphrates)
Βαβυλώνιος	adj	Babylonian
Βαγίστανα	name	an ancient region in modern Iran, now known as Bisotun
Βαγαδάτης	name	a male given name from Old Persian, equivalent to English Bagadates a general of Tigranes the Great
Βαγαπάτης	name	a male given name from Old Persian, equivalent to English Bagapates a eunuch of Cyrus the Great, Cambyses II and Darius the Great | a male given name from Old Persian, equivalent to English Bagapates beheader of Cyrus the Younger
Βαγασάκης	name	a male given name, Bagasaces, from Old Persian, a Persian general
Βαγαῖος	name	a male given name, Bagaeus, from Old Persian, an Achaemenid nobleman
Βαγδάδ	name	Baghdad
Βαγράδας	name	river Bagrada; Medjerda River, Tunisia
Βαγώας	name	a male given name, Bagoas, from Old Persian, a Persian courtier of Alexander the Great
Βαθυκλῆς	name	(Greek mythology) Bathycles, one of the Myrmidons who took part in the Trojan War
Βαθυνίας	name	Bathynias, a river of Thrace
Βαιόρασπος	name	a male given name, Baeoraspus, from Proto-Sarmatian
Βακτρία	name	Bactria
Βακτριανός	adj	Bactrian | (nominalized, masculine) an inhabitant of Bactria; a Bactrian
Βακχίς	name	a female given name
Βακχεῖος	adj	of or relating to Bacchus
Βακχιάδαι	noun	(historical clan) The Bacchiadae, a Doric clan
Βακχυλίδης	name	a male given name, equivalent to English Bacchylides
Βαλανέαι	name	Balanea; Baniyas, Syria
Βαλδίμερ	name	(Medieval Greek foreign given name) Vladimir
Βαλλά	name	Bilhah
Βαλτάσαρ	name	a male given name from Akkadian, equivalent to English Balthazar or Belshazzar
Βανάδασπος	name	a male given name, Banadaspus, the name of a king of the Iazyges
Βαράκ	name	Barak
Βαραββᾶς	name	Barabbas, a criminal released by Pontius Pilate instead of Jesus
Βαρβαλισσός	name	(Byzantine, historical) Barbalissus (an ancient city in Aleppo Governorate, Syria), Balis (a medieval city)
Βαργύλια	name	Bargylia, Caria, Turkey
Βαρθολομαῖος	name	a male given name, Bartholomaeus, from Aramaic, equivalent to English Bartholomew, famously held by: Bartholomew, a disciple of Jesus.
Βαρκινών	name	Barcelona (the capital city of Catalonia, Spain)
Βαρλαάμ	name	(Byzantine) a male given name from Middle Georgian, equivalent to English Barlaam
Βαρναβᾶς	name	Barnabas
Βαρύγαζα	name	Barygaza; Bharuch, India
Βασίλειος	name	a male given name, equivalent to English Basil
Βασιλείδης	name	Basilides
Βασιλειδιανός	noun	(Byzantine) Basilidian
Βασιλισηνή	name	Basilisene (an ancient canton of the kingdom of Armenia)
Βαστάρναι	noun	Bastarnae, a people of Sarmatia
Βατή	name	Bate, Attica, Greece
Βαϊμοῦντος	name	Bohemond
Βαῖτις	name	Baetis, Guadalquivir (a river in southern Spain)
Βεβρυκία	name	Bebrycia (the land of the Bebryces in Anatolia, later known as Bithynia)
Βεβρύκιος	adj	Bebrycian
Βεελζεβούλ	name	Beelzebub (a name for Satan)
Βελισάριος	name	(Byzantine) Belisarius, a Byzantine general
Βελλεροφόντης	name	Bellerophon
Βενέτζια	name	(Byzantine) synonym of Ἐνετία (Enetía), Venice (a port city in northeastern Italy; former capital of an independent republic)
Βενδῖς	name	Bendis, a Thracian goddess identified with Artemis
Βενετικός	adj	(Byzantine) synonym of Ἐνετικός (Enetikós), Venetian, of or related to Venice
Βενιαμίν	name	a male given name from Biblical Hebrew, equivalent to English Benjamin
Βενυσία	name	Venusia, Venosa (a town in Potenza, Basilicata)
Βερέκυνθος	name	Berecynthus; Malaxa Mountain, Crete, Greece
Βεργούλη	name	Bergule; Lüleburgaz, Turkey
Βερενίκη	name	a female given name from Ancient Macedonian, equivalent to English Berenice, Bernice, or Veronica | Berenice, now Benghazi (a city in Cyrenaica, Libya) | Berenice, now بَرْنِيس (barnīs) (a city in Upper Egypt) on the Red Sea 280km east of Aswan – Berenice Troglodytica | Berenice (a town in the northeastern coast of modern Djibouti) – Βερενίκη ἐπὶ Δειρῆς | Berenice (a town on the coast of modern Sudan) – Βερενίκη Πάνχρυσος | Berenice, now Aqaba (a city in modern Jordan)
Βηθαβαρά	name	Bethabara, a place on the Jordan where John the Baptist was baptizing.
Βηθανία	name	Bethany
Βηθλεέμ	name	Bethlehem (a city in the West Bank, Palestine)
Βηθσαϊδά	name	Bethsaida
Βηρυτός	name	Berytus, Beirut (the capital and largest city of Lebanon)
Βηρύτιος	noun	Berytian
Βηστίας	name	Bestia
Βητριακόν	name	Bedriacum; Calvatone, Italy
Βιάνωρ	name	a male given name, equivalent to English Bianor
Βιδάσπης	name	synonym of Ὑδάσπης (Hudáspēs)
Βιζύη	name	Bizye, Thrace; nowadays Vize, in Turkey
Βιθυνία	name	(historical) Bithynia (a geographic region, ancient kingdom, and historical province of the Roman Empire in the northwest of Asia Minor in modern Turkey)
Βιθυνός	noun	one of the Bithyni | an inhabitant of Bithynia; a Bithynian
Βικέντιος	name	Vincentius; Vicentius; Vincent
Βιλλαῖος	name	Filyos (a river in Turkey, which flows into the Black Sea)
Βισάλτης	noun	Any individual among the Bisaltae
Βισάνθη	name	Bisanthe, Thrace, Turkey
Βιστονία	name	Bistonia, Thrace
Βιστόνιος	adj	of or relating to the Bistons; Bistonian
Βλάνδα	name	Blanda; Maratea, Basilicata, Italy | Blanda; Blanes, Catalonia, Spain
Βλάχος	noun	a Vlach | an East Romance-speaking inhabitant of Greece
Βλαχία	name	Wallachia (a historical region and former principality in Eastern Europe, now part of southern Romania)
Βλαῦδος	name	Blaudus or Blaundus, Phrygia, Turkey
Βλόσσιος	name	Blossius
Βοάγριος	name	Boagrius (a river in Locris, Greece)
Βοίβη	name	Boebe, Thessaly, Greece
Βοανεργές	name	Boanerges, an epithet given by Jesus to the disciples James and John.
Βοηδρομιών	name	Boedromion: the third month of the Attic calendar, corresponding to the lunar term around September and October
Βοιωτία	name	Boeotia (a historical region in central Greece)
Βοιωτός	name	Boeotus
Βοιωτός	noun	an inhabitant of Boeotia; a Boeotian
Βοκώνιος	name	Voconius
Βολίνη	name	(mythology) A nymph loved by Apollo | Bolina, Achaea, Greece
Βολισσός	name	Bolissus; Volissos, Greece
Βονιφάτιος	name	Boniface
Βορέας	name	the north wind, personified as Boreas | the North
Βορινός	name	Borinus, an ancient city of Phoenicia situated between Beirut and Sidon
Βορυσθένης	name	Borysthenes; Dnieper river
Βοσπορίτης	noun	an inhabitant along the Bosporus; a Bosporite
Βοττιαία	name	Bottiaea
Βοττιαῖοι	noun	the Bottiaeans
Βοττική	name	Bottike, Bottice (an area in western Chalcidice, Greece)
Βουβάρης	name	a male given name, Bubares, from Old Persian, a Persian nobleman and son of Megabazus
Βουβών	name	Bubon, Lycia, Turkey
Βουγονία	name	Bugonia (the title of a poem by Eumelus of Corinth according to Varro)
Βουδῖνοι	noun	Budini, an ancient Scythian tribe mentioned by Herodotus
Βουθρωτός	name	Buthrotum; Butrint, Albania
Βουθόη	name	Budva, Butua
Βουκέφαλος	name	Bucephalus | a port of Corinth in the Saronic Gulf | a port in Attica
Βουκεφάλας	name	Bucephalus
Βουπράσιον	name	Buprasium, Elis, Greece
Βουτώ	name	(Egyptian mythology) Wadjet, the cobra-shaped patron goddess of Lower Egypt | Per-Wadjet, the aforementioned deity’s major cult center
Βούβαστις	name	Bubastis (a city in Egypt) | (Egyptian mythology) Bastet: a goddess, Isis or her daughter, identified with Artemis by Herodotus
Βούδδας	name	The Buddha (founder of Buddhism)
Βούδειον	name	Budium, Magnesia, Greece
Βούδορος	name	Budorus (a river in Euboea, Greece)
Βούσιρις	name	Busiris
Βούτης	name	(Greek mythology) Butes, name of several different people of the Greek mythology
Βοῦλις	name	Bulis (a town in Phocis, Greece)
Βοῦνος	name	(Greek mythology) Bunus, son of Hermes and Alcidamia
Βοῦρα	name	Bura, Achaea, Greece
Βοῦρκας	name	Burcas, a river of Sarmatia mentioned by Ptolemy
Βοῦρρος	name	a male given name, Burrus
Βοῦσαι	noun	Busae, a Persian tribe mentioned by Herodotus
Βοῦτος	name	Butos, Egypt
Βράγχος	name	(Greek mythology) Branchus, the son of Smyrcus and lover of Apollo
Βρέναι	noun	Brenae, a Thracian tribe settled near the course of the river Hebrus
Βρένθη	name	Brenthe, Arcadia, Greece
Βρέννος	name	Brennus
Βρέττιος	noun	Any individual among the Bruttii
Βρίξιλλον	name	Brixellum; Brescello, Italy
Βραγχίδης	name	any individual among the Branchidae; a member of the Branchides family
Βρασίδας	name	a male given name, equivalent to English Brasidas
Βραυρών	name	Brauron (an ancient city in Attica, Greece)
Βραχμάν	noun	a Brahmin
Βρεντέσιον	name	Brindisi (a city in southern Italy)
Βρεττανία	name	Great Britain, Britain (a large island off the north-west coast of Western Europe) | (in the plural) the British Isles
Βρεττανός	noun	a Briton or Brython (an inhabitant of the British Isles or of Great Britain)
Βρεῦκοι	noun	Breuci, a Pannonian tribe
Βριάρεως	name	Briareus
Βριζώ	name	(Greek mythology) Brizo, goddess who divines by dreams
Βριλησσός	name	Mount Brilessus; Mount Pentelicus, Greece
Βρισεύς	name	(Greek mythology) Briseus, king and priest in Lyrnessus and father of Briseis
Βρισηΐς	name	Briseis
Βροῦτος	name	Brutus
Βρυκλική	name	Bryclice (an ancient district of Cilicia in modern-day Turkey)
Βρυσειαί	name	Bryseae, Laconia, Greece
Βρόγγος	noun	river Brongus; West Morava, Serbia
Βυβασσός	name	Bubassus, Caria, Turkey
Βυζάντιον	name	Byzantium (an ancient Greek city situated on the Bosporus in modern Turkey, renamed Constantinople in 330 C.E.; modern Istanbul)
Βυζάντιος	noun	(Byzantine) a citizen of Byzantium, a Byzantine
Βυζαντιακός	adj	of the Byzantine Empire, Byzantine (entitling two fifth-century histories by the sophists Malchus and Priscus)
Βυλάζωρα	name	Bylazora; Veles, Macedonia
Βυλλίς	name	Byllis (an ancient city in Illyria, now in Albania)
